,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1445227479321382916,1445227479321382916,2021-10-05 08:50:56 India Standard Time,2021-10-05,08:50:56,530,413492760,asterzephyrisis,AntiDisplacementCoup,,this is the tweet no more shelters no more navigation centers no more temporary rooms homeless housing now,en,[],[],[],1,1,8,[],[],https://twitter.com/AsterZephyrIsis/status/1445227479321382916,False,https://twitter.com/ItsDanaWhite/status/1445038443021668356,0,,,,,,,,[],,,,
1,1445227452788269057,1445100293805445122,2021-10-05 08:50:50 India Standard Time,2021-10-05,08:50:50,530,1279603083056680963,isis_pastel,𝐈𝐬𝐢🍟🎃,,dianap m hubiera ido a dormir,es,[],[],[],0,1,4,[],[],https://twitter.com/isis_pastel/status/1445227452788269057,False,,0,,,,,,,,"[{'screen_name': '__dianap__', 'name': 'D I Λ П Λ 🐈\u200d⬛🎃', 'id': '1336186462749011968'}]",,,,
2,1445226349514297346,1445226349514297346,2021-10-05 08:46:27 India Standard Time,2021-10-05,08:46:27,530,1430905165209432069,afghan_voice_,Voice of Afghanistan,,in the evening two key members of the khawarij isis were arrested in the 5th district of kabul afghanvoice afghanistan isis,en,"[{'screen_name': 'afghan_voice_', 'name': 'voice of afghanistan', 'id': '1430905165209432069'}]",[],[],0,0,3,"['kabul', 'afghanistan', 'isis']",[],https://twitter.com/Afghan_Voice_/status/1445226349514297346,False,,0,,,,,,,,[],,,,
3,1445225572813135873,1445225572813135873,2021-10-05 08:43:22 India Standard Time,2021-10-05,08:43:22,530,911489138,isisdali_,isis 🤍,,a fact,en,[],[],[],0,1,3,[],[],https://twitter.com/isisdali_/status/1445225572813135873,False,https://twitter.com/realprettyygirl/status/1445144068074446850,0,,,,,,,,[],,,,
4,1445225278913929220,1445224054898704385,2021-10-05 08:42:12 India Standard Time,2021-10-05,08:42:12,530,17455999,isis_nocturne,Isis M. Nocturne,,mediaite and if shes still not going to answer to her constituents what are they supposed to do,en,[],[],[],2,0,3,[],[],https://twitter.com/Isis_Nocturne/status/1445225278913929220,False,,0,,,,,,,,"[{'screen_name': 'Mediaite', 'name': 'Mediaite', 'id': '29465136'}]",,,,
5,1445225088576589825,1445225088576589825,2021-10-05 08:41:26 India Standard Time,2021-10-05,08:41:26,530,1356145526761287680,fuckgodihatemom,The Emo Osama Bin Laden,,mls be like critical suppo to isis for being against western imperialism,en,[],[],[],1,1,3,[],[],https://twitter.com/fuckgodihatemom/status/1445225088576589825,False,,0,,,,,,,,[],,,,
6,1445224792597073921,1445224792597073921,2021-10-05 08:40:16 India Standard Time,2021-10-05,08:40:16,530,1309128704916893700,chanakyaforum,Chanakya Forum,,breaking news islamic state claims responsibility for kabul blast afghanistan blast isis-k islamicstate kabul responsibility,en,[],['https://chanakyaforum.co/2ZYAWCg'],[],0,0,12,"['afghanistan', 'blast', 'isis', 'islamicstate', 'kabul', 'responsibility']",[],https://twitter.com/ChanakyaForum/status/1445224792597073921,False,,0,,,,,,,,[],,,,
7,1445223288972656640,1445223288972656640,2021-10-05 08:34:17 India Standard Time,2021-10-05,08:34:17,530,1282216569830092800,bigfatmoosepssy,more real bob saget,,theyre saying now all the terrorist organizations wanna come back isis glee al-kaydaw whats next,en,[],[],[],2,0,14,[],[],https://twitter.com/bigfatmoosepssy/status/1445223288972656640,False,,0,,,,,,,,[],,,,
8,1445222860390166534,1445222860390166534,2021-10-05 08:32:35 India Standard Time,2021-10-05,08:32:35,530,791296989455536128,steelesyaa,Steele M,,kurdish hat forces conducted raids in the city of raqqah in nohern syria the hat forces busted up a known cell of isis militant arresting several individuals seizing weapons and documents syria sdf syrianarmyplease feel free to follow for daily syrian updates,en,[],[],['https://pbs.twimg.com/media/FA52h_sUcAUTjLp.jpg'],0,1,3,"['raqqah', 'syria', 'sdf', 'syrianarmy']",[],https://twitter.com/SteeleSyAA/status/1445222860390166534,False,,1,https://pbs.twimg.com/media/FA52h_sUcAUTjLp.jpg,,,,,,,[],,,,
9,1445221661330980867,1445157783796699145,2021-10-05 08:27:49 India Standard Time,2021-10-05,08:27:49,530,34291213,mikebranchmusic,Mike Branch Music 💥,,jziggs228 erinloftus15 skippercuse katiern1 doctorgreenguy valkxoe janabw81 bethenoble1 cackowskiliz slayatgg strider4eowyn gabbyucm kathlogue penelopebaby2 maryrosebrand showgirlcf mafercitam7 dila1komala piperpico realchattycat katibug817 dior16795345 dedserius ronnieski8 jillmcmullon thehuniman gussyupper lauriewalters19 azgrl007 talyn777 distempria jdawg1973 dissidentpries2 brianharris33 brandonbpug isisebony starannthe awethatsparkle missdublin1970 theogpianogeek jimbofeenstra tanyadiona lchicago18 mplatina darrenclyn lisasmith1150 dejafuuled,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/FA51cElVQAM5W7E.jpg'],1,0,5,[],[],https://twitter.com/mikebranchmusic/status/1445221661330980867,False,,1,https://pbs.twimg.com/tweet_video_thumb/FA51cElVQAM5W7E.jpg,,,,,,,"[{'screen_name': 'jziggs228', 'name': 'Jana Lyn ❤️🧡💛💚💙💜', 'id': '825420443020570624'}, {'screen_name': 'ErinLoftus15', 'name': 'Erin S', 'id': '1312865656577036288'}, {'screen_name': 'skippercuse', 'name': 'Skippercuse', 'id': '422762467'}, {'screen_name': 'katie_RN1', 'name': 'katie…is..', 'id': '1303143754367479809'}, {'screen_name': 'DoctorGreenGuy', 'name': 'Dr. Hulk', 'id': '1375871984609939456'}, {'screen_name': 'ValkXoe', 'name': '🏴\u200d☠️Xoe Valk Warrior Demon😈', 'id': '1345510297264644099'}, {'screen_name': 'Janabw81', 'name': '🔥JanaB Warrior Angel🔥', 'id': '752575365558603777'}, {'screen_name': 'BE_THE_NOBLE1', 'name': '🇮🇪🍀Paddy🇮🇹🥊', 'id': '546245557'}, {'screen_name': 'CackowskiLiz', 'name': 'Green-eyed Lizard 🦎', 'id': '1028264828002099205'}, {'screen_name': 'slayatgg', 'name': '💫T Slaya 💫', 'id': '1230112404'}, {'screen_name': 'Strider4Eowyn', 'name': 'Strider4Eowyn', 'id': '1221003967578222593'}, {'screen_name': 'Gabby_ucm', 'name': 'gabby', 'id': '1434716980192419841'}, {'screen_name': 'KathLogue', 'name': 'Kath Southie ☘️', 'id': '1391540926296772616'}, {'screen_name': 'PenelopeBaby2', 'name': 'Sunflower 🌻', 'id': '1377363772898181121'}, {'screen_name': 'maryrosebrand', 'name': 'Mary Rose 💙', 'id': '451568504'}, {'screen_name': 'showgirlcf', 'name': 'Red Mystique, RN, BAN, MBA 🌊❤🌈', 'id': '465194634'}, {'screen_name': 'MafercitaM7', 'name': 'Maria Fernanda 🇲🇽🇨🇦', 'id': '1325840335411449863'}, {'screen_name': 'Dila1Komala', 'name': '🌹Komala Dila ~🌹', 'id': '1330632045526061056'}, {'screen_name': 'piperpico', 'name': 'Piper 🇨🇦 🍁🦋🌸🌼🦋', 'id': '104363369'}, {'screen_name': 'Real_Chatty_Cat', 'name': 'CAT - (CAThy) 🌟🍃💫', 'id': '990004097729216512'}, {'screen_name': 'katibug817', 'name': 'DIANA💫Princess🔱Warrior💫', 'id': '1129683662'}, {'screen_name': 'Dior16795345', 'name': 'Ms. Dior dammit!', 'id': '1222504113205927937'}, {'screen_name': 'dedserius', 'name': '🎼 💙Van💙🎶', 'id': '162923387'}, {'screen_name': 'ronnieski8', 'name': 'Ron Szymanski', 'id': '2288512509'}, {'screen_name': 'jillmcmullon', 'name': 'jill mcmullon (Jilly)', 'id': '141603029'}, {'screen_name': 'TheHuniman', 'name': 'john hunigan', 'id': '1357241280913432577'}, {'screen_name': 'gussyupper', 'name': 'LaverneDog', 'id': '892496947138797568'}, {'screen_name': 'LaurieWalters19', 'name': 'Laurie🌊Trixie👊🏽🌈😷710k+ DEAD💉GET VAXED', 'id': '734913447197048832'}, {'screen_name': 'azgrl007', 'name': 'Lara', 'id': '976462631019077632'}, {'screen_name': 'Talyn777', 'name': 'Taryn T, Duchess of the Blue Sea 🌊', 'id': '940801984025845761'}, {'screen_name': 'DisTempria', 'name': "";😷Name's Howard or How 😷;"", 'id': '809299807303073793'}, {'screen_name': 'Jdawg_1973', 'name': 'Jeremy 🇺🇸', 'id': '1366937574254776323'}, {'screen_name': 'DissidentPries2', 'name': '𝔇𝔦𝔰𝔰𝔦𝔡𝔢𝔫𝔱_𝔓𝔯𝔦𝔢𝔰𝔱', 'id': '1360973099672494089'}, {'screen_name': 'BrianHarris33', 'name': 'Southern Democrat~Brian Harris', 'id': '1270015074116292608'}, {'screen_name': 'brandonbpug', 'name': 'brandonbpug', 'id': '1288328512097488896'}, {'screen_name': 'isis_ebony', 'name': 'Ebony💋Isis', 'id': '1399887258409390084'}, {'screen_name': 'StarannThe', 'name': '🌟Starann🌟The Badass liberal', 'id': '1395193308817858560'}, {'screen_name': 'AweThatSparkle', 'name': 'AllThatSparkles', 'id': '1016332476279672834'}, {'screen_name': 'missdublin1970', 'name': 'Lisa', 'id': '419830568'}, {'screen_name': 'TheOGpianoGeek', 'name': 'Johnny (the piano geek). 🎹🏳️\u200d🌈🌊🌿😎💨', 'id': '1370194084598587393'}, {'screen_name': 'JimboFeenstra', 'name': 'Jim Feenstra', 'id': '273663964'}, {'screen_name': 'TanyaDiona', 'name': 'Tanya Diona', 'id': '113182749'}, {'screen_name': 'LChicago18', 'name': 'LolaChicago18', 'id': '1268917422163140609'}, {'screen_name': 'MP_Latina', 'name': '𝙈𝙖𝙧𝙮 🌺 Kindness is NOT WEAKNESS ❤️🌈', 'id': '2397144980'}, {'screen_name': 'darrenclyn', 'name': 'Darren Lyn', 'id': '1918283838'}, {'screen_name': 'lisasmith1150', 'name': 'HOST BODY Lisa Smith', 'id': '1364097628829405189'}, {'screen_name': 'dejafuuled', 'name': 'Chasing Shadows', 'id': '1098282507647307777'}]",,,,
